iter	Logloss
0	0.6870979786
1	0.6822315216
2	0.6795473099
3	0.6766238213
4	0.6722746849
5	0.6693353653
6	0.6655571461
7	0.6586267471
8	0.6548159599
9	0.6520375252
10	0.6473858356
11	0.6459312439
12	0.6427371502
13	0.6379899979
14	0.6346167564
15	0.6311262131
16	0.6296278
17	0.62549963
18	0.6235616684
19	0.6219614029
20	0.6183570862
21	0.6171143532
22	0.6169399261
23	0.6133183479
24	0.6073007584
25	0.6063469887
26	0.6055047989
27	0.6017184258
28	0.599357605
29	0.5973567486
30	0.5945066929
31	0.5930318832
32	0.5905251503
33	0.5881779194
34	0.5862782478
35	0.5846073151
36	0.5814395905
37	0.5794397831
38	0.5762607574
39	0.5732291222
40	0.5705795288
41	0.5691734314
42	0.5670566082
43	0.5654082298
44	0.5646279812
45	0.5605769157
46	0.5589011192
47	0.5564661026
48	0.5552025795
49	0.5542887688
