iter	Passed	Remaining
0	50	50064
1	52	26263
2	56	18713
3	60	15061
4	62	12404
5	67	11210
6	78	11107
7	90	11268
8	94	10402
9	96	9593
10	99	8906
11	101	8361
12	103	7868
13	105	7456
14	108	7113
15	110	6772
16	111	6460
17	113	6180
18	114	5928
19	116	5687
20	116	5433
21	117	5236
22	119	5057
23	120	4895
24	122	4765
25	123	4628
26	125	4509
27	126	4389
28	127	4277
29	129	4172
30	130	4081
31	131	3971
32	132	3884
33	133	3802
34	135	3724
35	135	3628
36	136	3560
37	138	3499
38	139	3438
39	141	3387
40	141	3315
41	143	3265
42	144	3216
43	145	3168
44	147	3122
45	148	3077
46	149	3035
47	151	2996
48	152	2956
49	153	2919
50	154	2883
51	156	2849
52	157	2816
53	158	2783
54	160	2752
55	161	2722
56	162	2687
57	163	2658
58	164	2630
